2024-01-12 15:54:36,316 INFO    MainThread:2787792 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-01-12 15:54:36,317 INFO    MainThread:2787792 [wandb_setup.py:_flush():76] Configure stats pid to 2787792
2024-01-12 15:54:36,317 INFO    MainThread:2787792 [wandb_setup.py:_flush():76] Loading settings from /home/pupil/rmf3mc/.config/wandb/settings
2024-01-12 15:54:36,317 INFO    MainThread:2787792 [wandb_setup.py:_flush():76] Loading settings from /home/pupil/rmf3mc/Documents/ModelProposing/MGANet/FinalTouches/wandb/settings
2024-01-12 15:54:36,317 INFO    MainThread:2787792 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-12 15:54:36,317 INFO    MainThread:2787792 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-12 15:54:36,317 INFO    MainThread:2787792 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Train.py', 'program_abspath': '/home/pupil/rmf3mc/Documents/ModelProposing/MGANet/FinalTouches/Train.py', 'program': '/home/pupil/rmf3mc/Documents/ModelProposing/MGANet/FinalTouches/Train.py'}
2024-01-12 15:54:36,317 INFO    MainThread:2787792 [wandb_init.py:_log_setup():526] Logging user logs to /home/pupil/rmf3mc/Documents/ModelProposing/MGANet/FinalTouches/wandb/run-20240112_155436-h03706qp/logs/debug.log
2024-01-12 15:54:36,318 INFO    MainThread:2787792 [wandb_init.py:_log_setup():527] Logging internal logs to /home/pupil/rmf3mc/Documents/ModelProposing/MGANet/FinalTouches/wandb/run-20240112_155436-h03706qp/logs/debug-internal.log
2024-01-12 15:54:36,318 INFO    MainThread:2787792 [wandb_init.py:init():566] calling init triggers
2024-01-12 15:54:36,318 INFO    MainThread:2787792 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.05, 'backbone_class': 'densenet161', 'dataset': 'soybean_2_1', 'epochs': 2, 'Segmentation Training': True, 'Classification Training': False, 'freeze_all': True, 'manet': False, 'mmanet': True, 'maskguided': False, 'unet': True, 'deform_expan': 2.0, 'fsds': False, 'local_train': 1}
2024-01-12 15:54:36,318 INFO    MainThread:2787792 [wandb_init.py:init():616] starting backend
2024-01-12 15:54:36,318 INFO    MainThread:2787792 [wandb_init.py:init():620] setting up manager
2024-01-12 15:54:36,319 INFO    MainThread:2787792 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-01-12 15:54:36,320 INFO    MainThread:2787792 [wandb_init.py:init():628] backend started and connected
2024-01-12 15:54:36,326 INFO    MainThread:2787792 [wandb_init.py:init():720] updated telemetry
2024-01-12 15:54:36,329 INFO    MainThread:2787792 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-01-12 15:54:36,536 INFO    MainThread:2787792 [wandb_run.py:_on_init():2254] communicating current version
2024-01-12 15:54:36,629 INFO    MainThread:2787792 [wandb_run.py:_on_init():2263] got version response 
2024-01-12 15:54:36,629 INFO    MainThread:2787792 [wandb_init.py:init():804] starting run threads in backend
2024-01-12 15:54:38,752 INFO    MainThread:2787792 [wandb_run.py:_console_start():2233] atexit reg
2024-01-12 15:54:38,752 INFO    MainThread:2787792 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-12 15:54:38,752 INFO    MainThread:2787792 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-12 15:54:38,752 INFO    MainThread:2787792 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-12 15:54:38,753 INFO    MainThread:2787792 [wandb_init.py:init():847] run started, returning control to user process
2024-01-12 15:54:44,357 INFO    MainThread:2787792 [wandb_config.py:__setitem__():151] config set model_no_paras = 432.285413 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7fc52303f370>>
2024-01-12 15:54:44,357 INFO    MainThread:2787792 [wandb_run.py:_config_callback():1342] config_cb model_no_paras 432.285413 None
2024-01-12 15:58:17,645 INFO    MainThread:2787792 [wandb_run.py:_finish():1962] finishing run ramytrm/icip24-segmentation/h03706qp
2024-01-12 15:58:17,645 INFO    MainThread:2787792 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2024-01-12 15:58:17,645 INFO    MainThread:2787792 [wandb_run.py:_restore():2185] restore
2024-01-12 15:58:17,645 INFO    MainThread:2787792 [wandb_run.py:_restore():2191] restore done
2024-01-12 15:58:21,420 INFO    MainThread:2787792 [wandb_run.py:_footer_history_summary_info():3857] rendering history
2024-01-12 15:58:21,421 INFO    MainThread:2787792 [wandb_run.py:_footer_history_summary_info():3889] rendering summary
2024-01-12 15:58:21,428 INFO    MainThread:2787792 [wandb_run.py:_footer_sync_info():3816] logging synced files
